url,titulo,subtitulo,descricao,temas,data,descricao_limpo,descricao_sem_stopwords
https://www.agenciaminas.mg.gov.br/noticia/governo-de-minas-participa-de-premiacao-em-etapa-do-jemg-no-sul-do-estado,Governo de Minas participa de premiação em etapa do Jemg no Sul do estado,"Jogos Escolares de Minas Gerais voltaram a registrar adesão recorde neste ano, com a participação dos 853 municípios mineiros","  O governador de Minas Gerais, Mateus Simões, participou, nesse sábado (23/5), da cerimônia de encerramento e premiação da etapa...","['Social', 'Esportes', 'Governador']",2026-05-24 11:20:00-03:00,o governador de minas gerais mateus simoes participou nesse sabado 23 5 da cerimonia de encerramento e premiacao da etapa,governador minas gerais mateus simoes participou nesse sabado 23 5 cerimonia encerramento premiacao etapa
https://www.agenciaminas.mg.gov.br/noticia/governo-de-minas-inaugura-nova-quadra-poliesportiva-em-escola-estadual-de-teofilo-otoni,Governo de Minas inaugura nova quadra poliesportiva em escola estadual de Teófilo Otoni,"Investimento de R$ 1,4 milhão amplia infraestrutura da Escola Estadual Ione Lewick Cunha Melo e garante novo espaço para atividades esportivas e pedagógicas","O governador de Minas Gerais, Mateus Simões, inaugurou, nesta quarta-feira (20/5), a nova quadra poliesportiva da Escola Estadual Ione Lewick Cunha...","['Educação', 'Governo', 'Governador', 'Esportes']",2026-05-20 18:30:00-03:00,o governador de minas gerais mateus simoes inaugurou nesta quarta feira 20 5 a nova quadra poliesportiva da escola estadual ione lewick cunha,governador minas gerais mateus simoes inaugurou nesta quarta feira 20 5 nova quadra poliesportiva escola estadual ione lewick cunha
https://www.agenciaminas.mg.gov.br/noticia/premio-do-esporte-mineiro-chega-a-9-edicao-e-celebra-destaques-esportivos-em-minas-gerais,Prêmio do Esporte Mineiro chega à 9ª edição e celebra destaques esportivos em Minas Gerais,"Com mais de 651 mil votos na votação popular, vencedores serão conhecidos em cerimônia com transmissão ao vivo pela Rede Minas","O Prêmio do Esporte Mineiro (PEM) chega à sua 9ª edição em 2025 reafirmando seu papel como instrumento de valorização, reconhecimento e...","['Social', 'Esportes']",2025-12-18 14:30:00-03:00,o premio do esporte mineiro pem chega a sua 9a edicao em 2025 reafirmando seu papel como instrumento de valorizacao reconhecimento e,premio esporte mineiro pem chega 9a edicao 2025 reafirmando papel instrumento valorizacao reconhecimento
https://www.agenciaminas.mg.gov.br/noticia/governo-de-minas-distribui-kits-esportivos-para-municipios-e-impulsiona-desenvolvimento-social,Governo de Minas distribui kits esportivos para municípios e impulsiona desenvolvimento social,"Ao todo, mais de R$ 3,5 milhões já foram investidos na compra e entrega do material para cidades de todo o estado","Prefeitos e vice-prefeitos das cidades de Bom Jesus do Amparo, Chapada do Norte, Pimenta, Pains, São Lourenço e Machado receberam, nesta...",['Esportes'],2024-07-03 17:00:00-03:00,prefeitos e vice prefeitos das cidades de bom jesus do amparo chapada do norte pimenta pains sao lourenco e machado receberam nesta,prefeitos vice prefeitos cidades bom jesus amparo chapada norte pimenta pains lourenco machado receberam nesta
https://www.agenciaminas.mg.gov.br/noticia/times-de-comunidades-terapeuticas-fazem-historia-na-final-do-campeonato-mineiro-no-independencia,"Times de Comunidades Terapêuticas fazem história na final do Campeonato Mineiro, no Independência","Estrutura profissional, realização e alegria marcaram o fim do campeonato, que encerra programação da Semana Estadual de Prevenção às Drogas em Minas","O time de futebol Cerdad, de Santa Luzia, é o campeão do I Campeonato Mineiro de Futebol das Comunidades Terapêuticas, disputado nesta sexta-feira...","['Social', 'Esportes', 'Segurança']",2024-06-28 18:30:00-03:00,o time de futebol cerdad de santa luzia e o campeao do i campeonato mineiro de futebol das comunidades terapeuticas disputado nesta sexta feira,time futebol cerdad santa luzia campeao i campeonato mineiro futebol comunidades terapeuticas disputado nesta sexta feira
https://www.agenciaminas.mg.gov.br/noticia/governo-de-minas-investe-em-infraestrutura-urbana-no-extremo-norte-do-estado,Governo de Minas investe em infraestrutura urbana no extremo Norte do estado,Calçamento de ruas e nova quadra poliesportiva foram entregues à população da cidade de Mamonas,"O governador Romeu Zema participou, nesta quinta-feira (27/6), em Mamonas no Norte de Minas, da solenidade de entrega da quadra poliesportiva e de...","['Infraestrutura', 'Esportes', 'Governo', 'Governador', 'Educação']",2024-06-27 16:15:00-03:00,o governador romeu zema participou nesta quinta feira 27 6 em mamonas no norte de minas da solenidade de entrega da quadra poliesportiva e de,governador romeu zema participou nesta quinta feira 27 6 mamonas norte minas solenidade entrega quadra poliesportiva
https://www.agenciaminas.mg.gov.br/noticia/avancos-ineditos-em-politicas-de-desenvolvimento-social-sao-destaques-da-sedese-no-assembleia-fiscaliza,Avanços inéditos em políticas de desenvolvimento social são destaques da Sedese no Assembleia Fiscaliza,"Prestação de contas a deputados focou em realizações desenvolvidas pela Pasta, além do anúncio da proposta de aumento do Piso Mineiro de Assistência Social",O Governo de Minas avança em políticas públicas que garantem a mais pessoas em vulnerabilidade social direitos fundamentais. O resultado foi...,"['Social', 'Esportes', 'Direitos Humanos']",2024-06-26 20:05:00-03:00,o governo de minas avanca em politicas publicas que garantem a mais pessoas em vulnerabilidade social direitos fundamentais o resultado foi,governo minas avanca politicas publicas garantem pessoas vulnerabilidade social direitos fundamentais resultado
https://www.agenciaminas.mg.gov.br/noticia/governo-de-minas-divulga-primeiro-mascote-dos-jogos-escolares-de-minas-gerais,Governo de Minas divulga primeiro mascote dos Jogos Escolares de Minas Gerais,Golden Retriever venceu concurso de votação popular para selecionar símbolo dos valores da competição,"O primeiro mascote dos Jogos Escolares de Minas Gerais (Jemg), escolhido por votação popular, foi revelado. Organizado pela Secretaria de Estado de...","['Esportes', 'Educação']",2024-06-24 17:30:00-03:00,o primeiro mascote dos jogos escolares de minas gerais jemg escolhido por votacao popular foi revelado organizado pela secretaria de estado de,primeiro mascote jogos escolares minas gerais jemg escolhido votacao popular revelado organizado secretaria estado
https://www.agenciaminas.mg.gov.br/noticia/mineirao-completa-500-jogos-pos-reforma-nesta-quarta-feira-19-6,Mineirão completa 500 jogos pós-reforma nesta quarta-feira (19/6),"Administrado por meio de Parceria Público-Privada (PPP), estádio em Belo Horizonte recebeu melhorias e dobrou público das partidas","Um dos espaços mais simbólicos do futebol brasileiro, o Mineirão, completa, nesta quarta-feira (19/6), 500 jogos desde sua reforma para a Copa do...","['Infraestrutura', 'Esportes', 'Turismo', 'Cultura']",2024-06-19 17:10:00-03:00,um dos espacos mais simbolicos do futebol brasileiro o mineirao completa nesta quarta feira 19 6 500 jogos desde sua reforma para a copa do,espacos simbolicos futebol brasileiro mineirao completa nesta quarta feira 19 6 500 jogos desde reforma copa
https://www.agenciaminas.mg.gov.br/noticia/governo-de-minas-entrega-melhorias-na-saude-e-acesso-aos-esportes-para-populacao-do-sul-de-minas,Governo de Minas entrega melhorias na saúde e acesso aos esportes para população do Sul de Minas,Governador vistoriou obras que beneficiam moradores de Brazópolis e São José do Alegre,"O Governo de Minas está melhorando o acesso à saúde, educação e esporte para a população da região Sul do estado. Ao todo, já foram investidos mais...","['Saúde', 'Governo', 'Esportes', 'Desenvolvimento Econômico', 'Governador']",2024-06-13 18:50:00-03:00,o governo de minas esta melhorando o acesso a saude educacao e esporte para a populacao da regiao sul do estado ao todo ja foram investidos mais,governo minas melhorando acesso saude educacao esporte populacao regiao sul estado todo investidos
